n_hidden,batch_size,epochs,dropout,accuracy,F1_score,precision,recall
2,1,5,0.25,0.9476578261985986,0.9378515936877576,0.9067961165048544,0.9730378121263638
2,1,5,0.5,0.83203477495323,0.7398990505969508,0.6194174757281553,1.0
2,1,5,0.75,0.558317743296284,0.0,0.0,0.0
2,1,10,0.25,0.9768387073108104,0.9736086612026297,0.9650485436893204,0.982463435031286
2,1,10,0.5,0.9186383478228972,0.8896150075677474,0.8349514563106796,0.9799207426548705
2,1,10,0.75,0.7574593741975717,0.514390610088927,0.45242718446601937,0.5974999999999999
2,1,20,0.25,0.9837056601005099,0.9816049903850663,0.9844660194174757,0.9787714712471995
2,1,20,0.5,0.9828472910017974,0.9805714869902437,0.9805825242718447,0.9806908851666133
2,1,20,0.75,0.9433989949011409,0.9321000143352359,0.883495145631068,0.9876989247311828
2,10,5,0.25,0.8129929165104454,0.6705618796832692,0.5825242718446602,0.7930232558139535
2,10,5,0.5,0.627845643086814,0.17777777777777778,0.170873786407767,0.18526315789473685
2,10,5,0.75,0.5583177475236638,0.0,0.0,0.0
2,10,10,0.25,0.9339716006902181,0.9198084621842494,0.8718446601941748,0.9778383838383838
2,10,10,0.5,0.67566853797476,0.3203589232303091,0.26990291262135924,0.3945945945945946
2,10,10,0.75,0.5814937130865744,0.08307692307692308,0.05242718446601942,0.2
2,10,20,0.25,0.965731259540392,0.9600998630101092,0.9514563106796118,0.970337864614472
2,10,20,0.5,0.9536957501197552,0.9456229264085507,0.916504854368932,0.9771619233738964
2,10,20,0.75,0.7743076154235121,0.5396360223489903,0.4970873786407767,0.5907263468239078
2,100,5,0.25,0.5119658142510831,0.2452380952380952,0.4,0.17682403433476396
2,100,5,0.5,0.4880341959886893,0.36749328811643356,0.6,0.264858222368952
2,100,5,0.75,0.511210161039972,0.2448742404973859,0.4,0.17644620520157
2,100,10,0.25,0.5119658168859665,0.2452380952380952,0.4,0.17682403433476396
2,100,10,0.5,0.5342834074664442,0.13352813852813852,0.2058252427184466,0.1741263028816677
2,100,10,0.75,0.5617512258136139,0.014953271028037382,0.007766990291262136,0.2
2,100,20,0.25,0.5959245931747563,0.11972789115646258,0.0854368932038835,0.2
2,100,20,0.5,0.548875683653858,0.18115563298490128,0.2349514563106796,0.26841201716738194
2,100,20,0.75,0.5119658150696876,0.2452380952380952,0.4,0.17682403433476396
2,1166,5,0.25,0.5351417601108551,0.1226190476190476,0.2,0.08841201716738198
2,1166,5,0.5,0.49737352728843687,0.3371299871299871,0.4990291262135923,0.26253832004904964
2,1166,5,0.75,0.5112101376056671,0.2448742404973859,0.4,0.17644620520157
2,1166,10,0.25,0.5342833936214447,0.07464114832535886,0.07572815533980583,0.07358490566037736
2,1166,10,0.5,0.5119657993316651,0.2452380952380952,0.4,0.17682403433476396
2,1166,10,0.75,0.4656138777732849,0.4904761904761904,0.8,0.3536480686695279
2,1166,20,0.25,0.4664722442626953,0.31943164362519194,0.4893203883495145,0.24027231019683293
2,1166,20,0.5,0.5223689377307892,0.35487424049738586,0.5067961165048545,0.2898482670572401
2,1166,20,0.75,0.5119657993316651,0.2452380952380952,0.4,0.17682403433476396
5,1,5,0.25,0.9622757785847915,0.9567789077096709,0.9475728155339805,0.9664541227241606
5,1,5,0.5,0.957114559260482,0.9498737886203191,0.9281553398058253,0.9734439430728541
5,1,5,0.75,0.8800154066248487,0.8352852091609773,0.7417475728155339,0.9849786304187151
5,1,10,0.25,0.9794174828509592,0.9766892826378666,0.9766990291262136,0.9767166015024383
5,1,10,0.5,0.9777007446535343,0.9747541694548613,0.9747572815533981,0.9749334907663517
5,1,10,0.75,0.9485675507134734,0.9383298870409098,0.9009708737864077,0.9816821663609883
5,1,20,0.25,0.9879938373500605,0.9863884557004138,0.9844660194174757,0.9883861236802414
5,1,20,0.5,0.9914273137449104,0.9902532815162532,0.9864077669902912,0.9941557205406435
5,1,20,0.75,0.9708411283518579,0.9664697556754515,0.9514563106796118,0.9821976315278587
5,10,5,0.25,0.9451120586210028,0.9355651252300999,0.9067961165048544,0.9672235907502555
5,10,5,0.5,0.8619126194182225,0.8093190016308156,0.6970873786407767,0.9862857142857143
5,10,5,0.75,0.6947984319038268,0.4028737978718714,0.3281553398058252,0.573939393939394
5,10,10,0.25,0.9716958252202346,0.9674225686515433,0.9572815533980583,0.9783137185805151
5,10,10,0.5,0.9511243099429226,0.9425642784058625,0.9145631067961165,0.9735077088786397
5,10,10,0.75,0.7949855053832826,0.6635360140316223,0.541747572815534,0.9903921568627452
5,10,20,0.25,0.9862807643295038,0.9845686197366896,0.9902912621359224,0.9789726110123619
5,10,20,0.5,0.9819889183243138,0.9796437497837939,0.9805825242718447,0.9787879658551581
5,10,20,0.75,0.9570998800972369,0.9493380687067576,0.9223300970873787,0.9795419779775223
5,100,5,0.25,0.5488756852399044,0.17146284224250327,0.21941747572815534,0.2882882882882883
5,100,5,0.5,0.5634679562598768,0.30168496473706935,0.4155339805825243,0.27091234723978086
5,100,5,0.75,0.5368585212602552,0.19674725659074016,0.19805825242718447,0.20770562770562767
5,100,10,0.25,0.5814937120653958,0.4213250517598343,0.5572815533980583,0.37682403433476397
5,100,10,0.5,0.6526393022664395,0.494400476332148,0.49708737864077673,0.6415220650142719
5,100,10,0.75,0.5978027250688391,0.14835996635828427,0.11650485436893203,0.2209331651954603
5,100,20,0.25,0.8198635506903686,0.6767171553092762,0.596116504854369,0.7958762886597939
5,100,20,0.5,0.7476981812328749,0.5075207126552442,0.4679611650485437,0.5581043956043956
5,100,20,0.75,0.5798796847672005,0.2727056433287887,0.3029126213592233,0.4880341880341881
